id,non-commonsense-statement,sentence1,sentence2,sentence3,label
43,قفزت بالمظلة إلى البقالة من طائرة.,"إذا قفزت من طائرة للحصول على مواد البقالة ، فلن يكون لديك طريقة لإعادتها إلى المنزل.",من الصعب إيقاف طائرة في موقف للسيارات في محل بقالة.,محلات البقالة لا تحمل المظلات.,0
44,تسبح السمكة في الصحراء.,الأسماك لا تأخذ إجازات في الصحراء.,"تسبح الأسماك في مياه زرقاء أو خضراء ، بينما الصحراء صحراء رملية","الصحراء لا تحتوي على ماء ، لذلك لا يمكن للسمكة السباحة هناك.",2
45,كان هناك مخلوق جليد ميت يمشي في الثلج.,مخلوقات الجليد الميت لا تمشي على الجليد.,مخلوقات الجليد الميت لا تمشي.,مخلوقات الجليد الميت لا وجود لها.,2
46,أنا أسبح تحت الصنبور,انقر على مصدر جيد للمياه,تستخدم مياه الصنبور بشكل عام للاستحمام,لا توجد مياه كافية تحت الصنبور للسباحة فيه,2
47,شخص يأكل الجبال,الجبل أكبر بكثير من الإنسان,الجبال عادة ما تكون باردة بينما يكون الشخص حارًا عادةً,لا يمكن للجبال أن تأكل شخصًا,0
48,رأت جين زرافة في حقيبتها.,الحقيبة صغيرة جدا بحيث لا يمكن للزرافة أن تكون فيه.,يتعارض نمط جسم الزرافة مع حقيبتها الجلدية الأرجوانية.,والد جين لا يسمح لها بالحصول على حيوانات أليفة.,0
49,نستخدم الكتاب لمعرفة الوقت,الكتاب والساعة ضروريان جدًا في حياتنا اليومية,يستخدم الكتاب للدراسة,يلعب الكتاب دورًا مهمًا جدًا في حياتنا,1
50,كنت ألعب كرة السلة بصخرة,"أنت بحاجة إلى مرمى ثابت للعب كرة السلة ، ولا تحتاج صخرة",عادة ما تكون الصخرة غير شفافة والكرة برتقالية,يحب الناس حقًا مشاهدة كرة السلة الأمريكية,0
51,أخذت ماري فراشة في نزهة,العث مثل الطيران نحو الضوء,من غير المعتاد الاحتفاظ بالعثة كحيوان أليف,داس أحدهم على العثة وسحقها,1
52,أحب الاستماع إلى الألوان أثناء التنقل,ليس من السهل عادة العثور على الألوان في الظلام,لا يجب أن تركض أثناء تنقلك,لا يمكن الاستماع إلى الألوان,2
53,أركض في الهواء,يمكننا السفر باستخدام الهواء والأرض,المشي غير ممكن في الهواء,تطير الطيور في الهواء,1
54,كانت هناك امرأة شقراء تركب تنين.,النساء الأشقر لا يركبن التنانين.,عادة لا تركب النساء التنانين.,التنين غير موجودة.,2
55,أكل الكتاب,الكتاب لا طعمه جيد,لا يحب الكتاب,الكتاب ليس غذاء,2
56,أكل الولد مانجو اصطناعي,المانجو حلوة لكنها مريرة أيضًا,لا يستطيع الإنسان أكل الفاكهة الاصطناعية,المانجو لا يستطيع أكل جاك,1
57,الطفل يأخذ القاموس,القاموس مليء بالألوان,القواميس ثقيلة جدا,القاموس لا يمكن أن يأخذ طفل,1
58,كانت المدرسة مفتوحة للصيف,الصيف هو عادة وقت عطلة للمدرسة,درجة الحرارة بالخارج ساخنة جدًا للتعلم في الصيف,تنتظر المدارس حتى تسقط الورقة الأولى في الخريف لتفتح,0
59,بكت الشوكولاتة,الشوكولاتة مادة صلبة لذلك لا يمكنها البكاء,الشوكولاتة ليس لها عيون تبكي,كانت الشوكولاتة باردة جدا,0
60,هناك حفلات شواء في منتصف برنامج تلفزيوني,يمكن إظهار حفلات الشواء في الإعلانات التجارية,تباع لنا مشاوي والإعلانات التجارية,حفلات الشواء هي شيء مادي ليس مثل الإعلانات التجارية,2
61,كان متعبًا فذهب إلى سيارته.,السيارات أماكن صغيرة ومريحة.,لا يجب على المرء القيادة عندما يكون المرء متعبًا.,السيارات لديها مقاعد ناعمة داخلها يمكن للمرء أن يرقد عليها.,1
62,لا تتقيأ أبدًا بعد أن تسكر,كلنا نتقيأ بدون كحول,الكثير من الكحول في أجسامنا يجعلنا نتقيأ,هناك مشروبات بدون كحول,1
63,يمكنك استخدام قنديل البحر لحمل الشيكات.,قنديل البحر هو مخلوق بحري لا يمكنه حمل أي شيء.,قنديل البحر طري ومصنوع من الورق.,قنديل البحر لا يأكل الشيكات.,0
64,المحامون هم الأشخاص الذين يلعبون الشخصيات في التلفزيون أو المسرح,كثير من المحامين ليس لديهم الوقت لمشاهدة التلفزيون,المحامون هم الأشخاص الذين يقدمون المساعدة القانونية,بعض الشخصيات في التلفزيون أو المسرح هم محامون,1
65,قادت الزرافة سيارة,عادة ما تكون الزرافات سائقات متهورة,الزرافة أكبر من أن تتناسب مع السيارة,تفضل الزرافات الطائرة بدلا من السيارات,1
66,كلب صغير يسمى هريرة,القطط أصغر من الكلاب,لا يستطيع القط أكل طعام الكلب,القطط الصغيرة صغيرة هي من تسمى هريرة,2
67,ذهب الببغاء للعمل,تلعب الببغاوات حبل القفز أثناء لعب الورق في العمل,لا تستطيع الببغاوات ركوب مترو الأنفاق للعمل,الببغاوات ليس لديها وظائف,2
68,ابنتي تستحم دائمًا في حوض المطبخ وتتجنب حوض الاستحمام,يمكن استخدام الصنبور في حوض المطبخ لغسل أي شيء,حوض المطبخ ليس كبيرًا بما يكفي للاستحمام فيه,تتناسب معظم المطابخ مع صنابير المياه الساخنة والباردة,1
69,قتله بلغة برمجة,لغة البرمجة ليست سلاحا,لغات البرمجة خطيرة,لا يحب لغة البرمجة,0
70,شاركت السينما معهم الفشار,لا يمكنك مشاركة الطعام مع مؤسسة,الفشار لتغذية الدجاج,الفشار خيالي فقط,0
71,رائحة الطعام الفاسد لطيفة.,فالطعام الفاسد لا يغسل نفسه ورائحته كريهة.,"لا يمكن للطعام الفاسد استخدام مزيل العرق ، لذا تنبعث منه رائحة كريهة.",يتحلل الطعام الفاسد وينتج غازات ذات رائحة كريهة.,2
72,ممثل يرتدي محمصة.,المحامص ليست في الموضة.,المحامص ليست ملابس,المحامص ساخنة للغاية بينما الأزياء ليست كذلك.,1
73,نام الرجل على البركان.,الأسرة مريحة بشكل عام بينما تسبب البراكين الدمار.,البركان أكبر بكثير من السرير.,لا يمكن أن يكون السرير على البركان.,0
74,تحدثت إلى شبح عند الباب.,الأشباح بيضاء بينما الأبواب صفراء.,لا وجود للأشباح هنا,لا تستطيع الأشباح التحدث إلى الأحياء.,1
75,لن ترى معلمًا داخل المدرسة أبدًا.,يُطلب من المعلمين قانونًا أن يكونوا دائمًا داخل المدرسة.,تتطلب المدرسة معلمين من أجل إدارة وتعليم التلاميذ حتى يكون المعلم دائمًا في المدرسة.,يعيش المعلمون داخل المدارس ولديهم منازلهم الخاصة التي يقيمون فيها داخل المدرسة,1
76,قطعت بيتزا مع لوحة إعلانية.,عادة ما تكون لافتات الإعلان مربعة بينما تكون البيتزا مستديرة.,لا يمكن للوحة إعلانية أن تأكل بيتزا.,لوحة الإعلان أكبر بكثير من البيتزا.,2
77,بنوا الشمس,الشمس هي جسم طبيعي موجود في الفضاء ولا يمكن بناؤه,الشمس أكبر من المنزل,تجعل الشمس الناس يرتدون الواقي من الشمس على الشاطئ,0
78,وضع الرجل بعض المباني في الميكروويف,يمكن أن تكون المباني والموجات الدقيقة من نفس اللون.,المباني والموجات الدقيقة صلبة على حد سواء,لا يقوم الناس بتسخين المباني في الميكروويف,2
79,كان هناك طائر دجاجة.,يفضل الدجاج البقاء على الأرض.,الدجاج لا يطير.,ليس من الشائع رؤية الدجاج يطير.,1
80,عزفت على البقرة بشكل جيد للغاية,الأبقار ليست مركبات,الأبقار ليست آلات موسيقية,الأبقار ليست حساسة,1
81,أنت ما زلت على قيد الحياة إذا لم يكن لديك ضربات قلب.,"جميع البشر لديهم ضربات قلب وبدون ضربات قلب ، فأنت لست مثل البشر الأحياء على قيد الحياة ، لذا فأنت ميت.",نبض قلبك هو ما يبقيك على قيد الحياة وتتنفس عن طريق نقل الدم حتى بدونه أنت ميت.,"الأشخاص الذين هم على قيد الحياة دافئون بسبب قلبهم الذي ينقل الدم وإذا لم يكن لديك قلبًا ، فأنت تشعر بالبرد مما يعني أنك ميت.",1
82,قفز عليه الترامبولين,الترامبولين غير حساس ولا يمكنه القفز,يمكن أن يقول الترامبولين مدى ارتفاع القفز,الرجل ترامبولين,0
83,تدرب جورجيا تك التنين,التنين ليس مخلوق موجود,التنين كبيرة جدًا بالنسبة للمباني في جورجيا تك.,التنين لديه ذيول أكثر من الناس.,0
84,كانت تذهب إلى المدرسة في صندوق غداء,صندوق الغداء هو حاوية لنقل الطعام,صندوق الغداء باللون الأزرق وهي لا تحب اللون الأزرق,كان صندوق الغداء ممتلئًا,0
85,يتم إصلاح القمر وبهذه الطريقة يعود بالكامل,القمر كبير بما يكفي لإخفاء كل ضوء الشمس من الأرض لأن الشمس وأشكالها,تتكون جوانب القمر من الجبن ويمكن تناولها,"القمر لا يغير الأحجام ، الضوء الذي يساعدنا على رؤيته يتغير ويؤثر على شكله بالنسبة لنا",2
86,دفع الرجل الفاتورة بالماء.,ليس للماء حجم من المال.,عادة لا تصمد المياه في حين أن المال ملموس.,المال لا يمكن أن يبلل الماء.,1
87,أنت تطبخ الموسيقى,أحب الطبخ وصفات مفصلة,يجب الحفاظ على الموسيقى في مستوى لائق حتى لا تزعج الجيران,الموسيقى غير قابلة للطهي,2
88,تكتب القصة في الماء,الماء ليس له لون والكتابة غير ممكنة,يغسل الماء القصة عند الكتابة,ليس للماء القدرة على إظهار رسائل القصة,2
89,التخزين في كل جهاز كمبيوتر غير محدود.,"يتعب جهاز الكمبيوتر عندما يكون هناك عدد كبير جدًا من الملفات ، لذا لا يعد التخزين غير محدود.",أجهزة الكمبيوتر صغيرة والملفات كبيرة الحجم لذا لا يمكن أن يتناسب الكمبيوتر إلا مع كمية صغيرة من الملفات.,الكمبيوتر لديه مساحة محدودة في القرص الصلب لذا لا يمكن أن يكون التخزين غير محدود.,2
90,يبكي الناس فقط عندما يكونون غاضبين.,البكاء هو رد فعل طبيعي على الشعور بالحزن وكثير من الناس يبكون عندما يشعرون بالحزن للتعبير عن هذا الشعور.,من المستحيل البكاء عندما تغضب.,لم يبك أحد من قبل عندما يكونون غاضبين.,0
91,يحب معظم الناس تناول الهامبرغر والحلوى في الصباح.,غالبًا ما يحتوي الهامبرغر على الخس وغالبًا ما يكون بودنغ بنكهة الشوكولاتة.,يحتوي الهامبرغر والحلوى على كربوهيدرات.,"الهامبرجر غداء أو عشاء ، والحلوى حلوى.",2
92,ضرب فرانك ويل مع وسادة تسبب له الألم,الوسادة أكبر من الحجر,الوسادة أكثر نعومة من الحجر ولا تسبب إصابات,وسادة وحجر يمكن أن تكون بيضاء,1
93,وضع الجورب على الطبل.,البراميل ليست مصنوعة من الخشب بينما الجوارب مصنوعة من القماش.,الطبل ليس له قدم.,الأسطوانة أكبر بكثير من الجورب.,2
94,حلق أسنانه,من غير القانوني حلق الأسنان,لا يوجد شعر على الأسنان,الأسنان لا يمكن الوصول إليها بما يكفي لحلقها,1
95,وضعت الخردل على نجمة.,يدفع الناس المال لتسمية نجوم مختلفة.,تجعل السحب من الصعب رؤية النجوم في السماء.,النجم بعيد جدًا عن أي شخص لوضع بهار عليه.,2
96,يرتدون بدلات غيلي للخروج,هناك حاجة للأحذية للمشي في الخارج,بدلات غيلي مفيدة فقط في بيئات الغابة,الأحذية هي أكثر مرونه مقارنة في بدلات غيلي,0
97,كان يعزف الثلاجة,الثلاجة أداة وليست آلة موسيقية,لا يعرف الثلاجة,الثلاجة باللون الرمادي,0
98,لا يسمح لأي شخص بزيارة أقاربه.,"من حق الإنسان زيارة أحد الأقارب ولا توجد قوانين ضده، لذا يمكنك زيارة أحد الأقارب.",يُطلب منك قانونًا زيارة أقاربك.,يتم الاستهانة بك إذا لم تقم بزيارة قريب وخجل.,0
99,الأحذية الضيقة مريحة.,الأحذية الضيقة تجعل المشي لا يطاق.,بعض الناس يحبون أن تكون الأحذية ضيقة للغاية.,يمكن ارتداء الأحذية الضيقة لساعات عديدة.,0
100,يعد انخفاض ضغط الدم طريقة خطيرة للنظام الغذائي وفقدان الوزن.,"خفض ضغط الدم المرتفع، وفقدان الوزن هو نتيجة الأكل الصحي وممارسة الرياضة.",الأكل الصحي أمر خطير لأنه يمكن أن يخفض ضغط الدم ويجعلك تعاني من اضطراب في الأكل.,تحدث اضطرابات الأكل وانخفاض ضغط الدم بشكل خطير نتيجة تناول الطعام الصحي وفقدان الوزن.,0
101,يمكن للنباتات صنع أجهزة الكمبيوتر,"النباتات منتشرة في جميع أنحاء العالم ، في حين أن أجهزة الكمبيوتر موجودة فقط في البلدان المتقدمة",أجهزة الكمبيوتر ليست منتجات عضوية ومصنوعة من قبل البشر,"الحيوانات تأكل النباتات ، ولكن لا تأكل الحواسيب",1
102,يحب صديقي أن يأكل السلع الإلكترونية.,لا أحد يستطيع هضم السلع الإلكترونية.,السلع الالكترونية صغيرة جدا الآن لتناول الطعام.,قد تتسبب السلع الإلكترونية في حدوث صدمة أثناء تناول الطعام.,0
103,أوروبا في فرنسا,أوروبا قارة لكن فرنسا بلد,فرنسا ليست أوروبية,أوروبا ليست دولة فرنسية,0
104,قاد سيارته إلى القمر,لم تكن سيارته مزودة بإطارات القمر,تم إغلاق القمر لإصلاح ذلك اليوم,لا يوجد طريق يؤدي إلى القمر,2
105,عيد ميلاد الأطفال هو اليوم الذي التقى فيه والديهم.,أعياد الميلاد هي أيام سعيدة ويوم الميلاد أكثر سعادة من يوم لقاء الآباء.,يجب أن تشير أعياد الميلاد إلى الأيام ويلتقي معظم الآباء في الليل,يشير عيد الميلاد إلى اليوم الذي تم فيه ولادتك كطريقة للإشارة إلى عمرك ولا يمكن ان يكون اليوم الذي التقى فيه والديك.,2
106,محلات الأغنام في وول مارت,سوف ترى الأغنام كيف يتم استخدام الصوف في المتاجر,الأغنام تأكل العشب فقط لكن وول مارت يبيع اللحوم,وول مارت هو متجر للأشخاص وليس الحيوانات,2
107,لا يمكنك أن تسكر من الكحول.,"الكحول هو الشيء الوحيد الذي يمكنك شربه منه، ومن خلال شربه، يصبح دماغك مخمورًا.",من المستحيل أن تظل متيقظًا إذا شربت حتى قطرة واحدة من الكحول.,"الكحول سام، وبشربه يصبح مخمورا وشيكا.",0
108,أطلق صنبور الحريق رصاصة,صنابير الحريق ليس لديها آليات إطلاق النار,البنادق أقدم من صنابير مياه الحرائق,صنابير الحريق ليس لديها تعديل يحميهم,0
109,الغابة هي منطقة مغطاة بالثلج,"العديد من الأشجار تشكل غابة ، ووجود أو عدم وجود الثلج غير ذي صلة",الثلج أبيض والغابة خضراء,"يذوب الثلج ، لكن الغابة لا تذوب",0
110,بناه المبنى,المبنى كبير جدا,المبنى من صنع الإنسان,المبنى ليس حيا ليقوم ببناء نفسه او غيره,2
111,العشب يغني.,الكثير من الحيوانات تأكل العشب.,تساعد المياه على نمو العشب.,العشب ليس لديه صوت أو فم لإحداث ضوضاء.,2
112,قطعت اللحم بثلاجة.,الثلاجات من الحديد بينما اللحوم حمراء.,الثلاجة أكبر بكثير من اللحم.,لا يمكن للثلاجة استخدام السكاكين.,1
113,ركضت إلى السماء.,"لا يمكن السير في السماء، فهو يستخدم بالون الهواء أو أي واحد.","الإنسان لا يستطيع الريش ، فقط على الساقين للاستخدام ركض.","لا يمكنك الركض الى السماء ، لأنك تستطيع الذهاب إلى السماء باستخدام صاروخ فضائي فقط.",2
114,لا أحد يستخدم الأقلام للكتابة.,لا يمكنك الكتابة بأي شيء آخر غير الأقلام.,أنت مدح لاستخدام أقلام الكتابة مع أي شيء آخر.,يتم استخدام الأقلام للكتابة وهي أداة كتابة شائعة يستخدمها الناس لأنها فعالة.,2
115,يسبح الحوت في حوض الاستحمام.,الحوت أكبر بكثير من حوض الاستحمام.,عادة ما تكون الحيتان رمادية بينما الأحواض عادة بيضاء.,لا يمكن لحوض الاستحمام السباحة في الحوت.,0
116,الملاكم لن يضرب أبدًا في مباراة ملاكمة.,سيتم القبض على الملاكمين إذا قاموا بضرب شخص ما.,الملاكمون أناس طيبون للغاية ويكرهون جميع أنواع العنف.,يحتاج الملاكم إلى الضرب في مباراة ملاكمة لتسجيل النقاط والفوز. الحكم يجعلهم يلكمون.,2
117,كان هناك شخص يشرب حمض الكبريتيك.,لا يشرب الناس حمض الكبريتيك لأنه يقتلهم.,حمض الكبريتيك لا يطفئ العطش.,لن يشرب الشخص حمض الكبريتيك لأنه طعمه مر.,0
118,شربت كوب من الإطارات.,"الإطارات مصنوعة من المطاط ، والأكواب مصنوعة من الزجاج.",لا يمكن للكؤوس قيادة الإطارات.,لا يمكن شرب الإطارات.,2
119,كان يغير القنوات التلفزيونية بمفك البراغي,استنزفت بطارية مفك البراغي,مفك البراغي هو أداة ميكانيكية سلبية,لم يكن لديه مفك البراغي في المنزل,1
120,سبحت الزرافة عبر المحيط,الحوت أكبر بكثير من الزرافة,لا يمشي الحوت مثل الزرافة,يمكن للحوت أن يسبح أفضل بكثير من الزرافة,2
121,انتقلت المدينة لممتلكاته,يمكن أن تنتمي المجموعات إلى حد كبير بينما يمكن أن تكون المدينة كيانًا واحدًا فقط.,المدينة أكبر من أن تتناسب مع أي ممتلكات يمتلكها الشخص.,هناك الكثير من الخيارات للأماكن للذهاب في المدينة,1
122,وضع الآيس كريم في الخزانة,عادة ما يكون الآيس كريم سائلًا بينما تكون الخزانات صلبة,الآيس كريم لا يستطيع إطعام خزانة,تذوب الآيس كريم بسهولة في خزانة,2
123,كان الناس مليئين بالطائرات,الطائرات أكبر بكثير من الناس,يمكن للطائرات أن تطير بينما لا يستطيع الناس,لا يستطيع الناس أكل الطائرات,0
124,ذهبت إلى المتجر لشراء اليدين,لا يمكنك شراء اليدين من متجر.,لا يمكنك أكل اليد.,لا تصلح اليدين في سلة التسوق.,0
125,أخذ كبح الرصيف إلى سلة المهملات.,عادة ما تكون كبح الرصيف حيث تضع القمامة.,لا يمكنك تحريك كبح الرصيف من مكانه.,الحواجز هي حيث تتلقى إدارة النفايات جميع النفايات.,1
126,أضاءت أليس صخرة في الليل,لا يمكن رؤية الشمعة والصخور في الليل,وقد حصلت الصخرة والشمعة على نفس الحجم,لا يمكن إضاءة الصخور بسهولة,2
127,طارت على بيتزا.,البيتزا لديها العديد من الإضافات المختلفة,إضافات البيتزا ستلتصق بعقبك إذا جلست عليها.,البيتزا لا تحتوي على محركات تطير.,2
128,يمكن للموسيقي إجراء عملية جراحية,يتضمن كل من الموسيقيين والعمليات الجراحية أدوات,أجرى بعض الموسيقيين عمليات جراحية عليهم,يمكن للجراح المؤهل فقط إجراء الجراحة,2
129,نظفت أسنانها بشاحنة.,الشاحنات عادة ما تكون سوداء بينما تكون الأسنان بيضاء.,الشاحنة أكبر من السن.,لا تستطيع الشاحنة تنظيف أسنانها.,1
130,دخل البيت الرجل,المنزل أكبر من الرجل,البيت ليس الرجل,لا يأكل البيت في الانسان,0
131,وضع حوتًا على الرف.,الحوت أبيض بينما الرف بني.,الحوت أكبر من أن يتناسب مع الرف.,الحوت لا يمكن أن يشم رف.,1
132,جيل أكلت المعالج في كتابها.,السحرة أكبر من أن يأكلها البشر.,معالجات الكتب ليست صالحة للأكل مثل المعالجات العادية.,لا يمكنك أكل المعالجات.,2
133,يسافر بواسطة الكمبيوتر المحمول للوصول إلى المكتب.,يحتاج الكمبيوتر المحمول إلى برامج تشغيل لتشغيل البرنامج.,الكمبيوتر المحمول ليس مركبة يمكن قيادتها.,يمكن إظهار محاكاة القيادة على الكمبيوتر المحمول.,1
134,يشتري كتاباً ليأكله.,الكتاب غير صالح للأكل.,صفحات الكتاب مصنوعة من الأشجار.,تتغذى القوارض على الكتاب.,0
