id,sentence1,sentence2,label
52,أحب الاستماع إلى الألوان أثناء التنقل,أحب الاستماع إلى ملفات تسجيلات الاغاني أثناء التنقل,1
53,أركض على الأرض,أركض في الهواء,0
54,كانت هناك امرأة شقراء تركب فيلًا في إفريقيا.,كانت هناك امرأة شقراء تركب تنين.,0
55,هو أكل تفاحة,هو أكل الكتاب,0
56,جاك أكل المانجو,أكل جاك مانجو اصطناعي,0
57,الطفل يأخذ القاموس,الطفل يأخذ الألعاب,1
58,كانت المدرسة مفتوحة في الخريف,كانت المدرسة مفتوحة في الصيف,0
59,ذابت الشوكولاتة,بكت الشوكولاتة,0
60,هناك حفلات شواء في منتصف برنامج تلفزيوني,هناك إعلانات تجارية في منتصف برنامج تلفزيوني,1
61,كان متعبًا فذهب إلى فراشه.,كان متعبًا فذهب إلى سيارته.,0
62,لا تتقيأ أبدًا بعد أن تسكر,في بعض الأحيان تتقيأ بعد أن تسكر,1
63,يمكنك استخدام حامل دفتر الشيكات لإجراء الشيكات.,يمكنك استخدام قنديل البحر لإجراء الشيكات.,0
64,الممثلون هم الأشخاص الذين يلعبون الشخصيات في التلفزيون أو المسرح,المحامون هم الأشخاص الذين يلعبون الشخصيات في التلفزيون أو المسرح,0
65,قاد الرجل سيارة.,قادت الزرافة سيارة,0
66,كلب صغير يسمى جرو,كلب صغير يسمى هريرة,0
67,ذهب الرجل إلى العمل,ذهب الببغاء للعمل,0
68,ابنتي تستحم دائمًا في الحمام وتتجنب حوض الاستحمام,ابنتي تستحم دائمًا في حوض المطبخ وتتجنب حوض الاستحمام,0
69,قتله بلغة برمجة,قتله بسكين,1
70,تشاركوا الفشار في السينما,تشاركت السينما معهم الفشار,0
71,عادة ما يكون للطعام الفاسد رائحة زكية.,عادة ما يكون للطعام الفاسد رائحة كريهة.,1
72,يمكن للممثل ارتداء زي للتمثيل.,ممثل يرتدي آلة تحميص الخبز.,0
73,نام الرجل على البركان.,نام الرجل في السرير.,1
74,تحدثت إلى رجل عند الباب.,تحدثت إلى شبح عند الباب.,0
75,ستجد معلمين في المدرسة.,لن ترى معلمًا داخل المدرسة أبدًا.,0
76,قطعت بيتزا باستخدام لوحة إعلانية.,قطعت بيتزا باستخدام سكين.,1
77,قاموا ببناء منزل.,قاموا ببناء الشمس,0
78,وضع الرجل بعض المباني في الميكروويف,وضع الرجل بعض الكعك في الميكروويف,1
79,كان هناك طائر يطير.,كان هناك دجاجة طائرة.,0
80,لعب القيثارة بشكل جيد للغاية,لعب البقرة بشكل جيد للغاية,0
81,أنت ما زلت على قيد الحياة إذا لم يكن لديك ضربات قلب.,"إذا توقفت ضربات قلبك ، يتم تصنيفك على أنك ميت.",1
82,قفز على الترامبولين,قفز عليه الترامبولين,0
83,تقوم جورجيا تك بتدريب التنين,جورجيا تك هي مدرسة.,1
84,كانت تذهب إلى المدرسة في صندوق غداء,كانت تذهب إلى المدرسة في حافلة,1
85,يتم إصلاح القمر وبهذه الطريقة يعود بالكامل,القمر يصبح ممتلئًا مرة واحدة تقريبًا في الشهر,1
86,دفع الرجل الفاتورة بالماء.,دفع الرجل الفاتورة نقدا.,1
87,أنت تطبخ الموسيقى,أنت تطبخ العشاء,1
88,تكتب القصة في الماء,تكتب القصة في الورق,1
89,يمكن للكمبيوتر أن ينفد من التخزين.,التخزين في كل جهاز كمبيوتر غير محدود.,0
90,يبكي الناس عندما يكونون حزينين.,يبكي الناس فقط عندما يكونون غاضبين.,0
91,يحب معظم الناس تناول الهامبرغر والحلوى في الصباح.,يحب معظم الناس تناول القهوة والكعك في الصباح.,1
92,ضرب فرانك ويل بوسادة تسببت له الألم,ضرب فرانك ويل بحجر تسبب له الألم,1
93,وضع جوربًا على قدمه.,وضع الجورب على الطبل.,0
94,حلقَ لحيته,حلق أسنانه,0
95,وضعت الخردل على حشيشة الذرة.,وضعت الخردل على نجمة.,0
96,يرتدون بدلات غيلي للخروج,كانوا يرتدون أحذية للمشي في الخارج,1
97,كان يعزم الثلاجة,كان يعزف الموسيقى,1
98,لا يسمح لأي شخص بزيارة أقاربه.,يمكن للشخص زيارة الأقارب.,1
99,الأحذية الضيقة تسبب الانزعاج.,الأحذية الضيقة مريحة.,0
100,النظام الغذائي طريقة رائعة لخفض ضغط الدم وفقدان الوزن.,يعد انخفاض ضغط الدم طريقة خطيرة للنظام الغذائي وفقدان الوزن.,0
101,يمكن للنباتات أن تصنع الكربوهيدرات,يمكن للنباتات صنع أجهزة الكمبيوتر,0
102,يحب صديقي أن يأكل السلع الإلكترونية.,يحب صديقي أن يأكل طعامًا غير نباتي,1
103,فرنسا في أوروبا,أوروبا في فرنسا,0
104,قاد سيارته إلى القمر,قاد سيارته إلى لندن,1
105,"عندما يولد طفل ، يسمى ذلك اليوم بعيد ميلاده.",عيد ميلاد الأطفال هو اليوم الذي التقى فيه والديهم.,0
106,سيدة تسوق إلى وول مارت,محلات الأغنام في وول مارت,0
107,شرب الكحول يجعلك في حالة سكر.,لا يمكنك أن تسكر من الكحول.,0
108,أطلق صنبور النار رصاصة,أطلقت البندقية رصاصة,1
109,الغابة هي منطقة مغطاة بالأشجار,الغابة هي منطقة مغطاة بالثلج,0
110,قام الشخص ببناء المبنى,بنى المبنى الشخص,0
111,العشب يغني.,العشب ينمو.,1
112,قطعت اللحم بسكين.,قطعت اللحم بثلاجة.,0
113,ركضت إلى السماء.,ركضت إلى الحظيرة.,1
114,يكتب الناس مع الأقلام.,لا أحد يستخدم الأقلام للكتابة.,0
115,يسبح الحوت في المحيط.,يسبح الحوت في حوض الاستحمام.,0
116,من المرجح أن يلقي الملاكم لكمة في مباراة ملاكمة.,الملاكم لن يلعب أبدًا في مباراة ملاكمة.,0
117,كان هناك شخص يشرب الماء.,كان هناك شخص يشرب حمض الكبريتيك.,0
118,شربت فنجان من الشاي.,شربت فنجان من الإطارات.,0
119,كان يغير القنوات التلفزيونية بمفك البراغي,كان يغير قنوات التلفزيون بجهاز تحكم عن بعد,1
120,سبحت الزرافة عبر المحيط,يسبح الحوت عبر المحيط,1
121,نقل أمتعته إلى مدينة جديدة,نقل مدينة لممتلكاته,0
122,وضع الآيس كريم في الخزانة,وضع الآيس كريم في الفريزر,1
123,كان الناس مليئين بالطائرات,كانت الطائرة مليئة بالناس,1
124,ذهبت إلى المتجر لشراء اليدين,ذهبت إلى المحل لشراء الخبز,1
125,أخرج القمامة إلى الرصيف.,أخذ الرصيف إلى سلة المهملات.,0
126,أضاءت أليس صخرة في الليل,أشعلت أليس شمعة في الليل,1
127,لقد تسلمت بيتزا.,طارت على بيتزا.,0
128,يمكن للموسيقي إجراء عملية جراحية,يمكن للموسيقي أن يعزف على آلة موسيقية,1
129,قامت بتنظيف أسنانها بفرشاة.,نظفت أسنانها بشاحنة.,0
130,دخل الرجل البيت,دخل البيت الرجل,0
131,وضع برتقالة على الرف,وضع حوتًا على الرف.,0
132,كتب جيل كتابًا عن المعالجات.,جيل أكلت المعالج في كتابها.,0
133,يسافر بواسطة كمبيوتر محمول للوصول إلى المكتب.,يسافر بالحافلة للوصول إلى المكتب.,1
134,يشتري كتاباً ليأكله.,يشتري برغر ليأكله.,1
135,يذوب الجليد في درجة حرارة الغرفة.,يذوب الجدول في درجة حرارة الغرفة.,0
136,مشى إلى المتجر,مشى إلى المريخ,0
137,رفع جرار بيديه.,رفع الدف بيديه.,1
138,قام جاك بقطع شجرة,قام جاك بقطع جبل,0
139,سبح في البحيرة,سبح في الحمم البركانية,0
140,وضع الحصان في محفظته.,وضع بطاقة في محفظته.,1
141,كتبت المرأة القصة بملعقة على الورق,كتبت المرأة القصة بقلم رصاص على الورق,1
142,أكلت موزة,أكلت قالب طوب,0
143,أنا أستخدم السيوف,السيوف تستخدمني,0
144,جاك يطير بسيارته كل يوم,جاك يقود سيارته كل يوم,1
145,كانت في حاجة إلى الاتصال بأمها لكنها لم تتمكن من العثور على مفاتيح سيارتها,كانت بحاجة إلى الاتصال بوالدتها لكنها لم تتمكن من العثور على هاتفها,1
146,قدم العالم على العشاء,قدم الخضروات على العشاء,1
147,ذهب إلى صالون التجميل لأنه يشعر بالجوع,ذهب إلى المطعم لأنه يشعر بالجوع,1
148,عزف البيانو,ضرب البيانو,0
149,اليوم يكون 24 ساعة,اليوم يكون 30 ساعة,0
150,الكوب مخصص لحمل الغاز الذي تخطط لشربه.,الكوب مخصص لحمل سائل تخطط لشربه.,1
151,ألبس أسداً,أنا لبست بنفسي,1
152,ألقى الكرة في السلة.,ألقى سندان الحداد في السلة.,0
153,أحب أكل الآيس كريم المطبوخ,أحب أكل البيض المسلوق,1
154,أكل الشواء.,أكل رافعة.,0
155,رقص على الأرض,رقص على الملعقة,0
156,الصورة هي لوحة أو صورة تركز على وجه الشخص,المناظر الطبيعية هي لوحة أو صورة تركز على وجه الشخص,0
157,أكل الطفل الطين من على وجهه.,يفرك الطفل الطين على وجهه.,1
158,قام رجل بتذويب الدجاج باستخدام ولاعة.,قام رجل بتذويب الدجاج باستخدام الميكروويف.,1
159,كان يسير على الطريق.,كان يمشي على الماء,0
160,سمكة قرش تأكل سمكة,سمكة قرش تقابل سمكة.,0
161,رفعت كرسي.,رفعت جرار.,0
162,تقوم بإجراء مكالمة هاتفية.,تقوم بإجراء مكالمة بجانب الموقد.,0
163,تشرق الشمس في الليل,تشرق الشمس في النهار,1
164,الكتاب يأكل,الفيل يأكل,1
165,تكتب المرأة في السماء.,تكتب المرأة في الكتاب.,1
166,بلد liegenpoofa موجود,بلد الدنمارك موجود,1
167,شيء يمكنك العثور عليه على سطح المكتب هو الغبار.,لن تجد الغبار على سطح المكتب.,0
168,الكلاب تأكل أسلاك التمديد.,الكلاب تأكل طعام الكلاب.,1
169,يحب الأطفال غسل الملابس,يحب الأطفال قراءة القصص,1
170,يمكنك الاستحمام في الخلاط,يمكنك الاستحمام في حوض الاستحمام,1
171,كانت العملة مصنوعة من الجبن,كانت العملة مصنوعة من الفضة,1
172,يتم استخدام سكين الخبز لقطع الخبز,يتم استخدام شوكة لقطع الخبز,0
173,تصنع العجة من بيض الدجاج.,تصنع العجة ببيض الحصان.,0
174,استلقيت على مياه البركة للنوم,استلقيت على السرير للنوم,1
175,الماء على الموقد يغلي.,تجمد الماء على الموقد.,0
176,نسج الحصان شبكة,نسج العنكبوت شبكة.,1
177,اشترت ماين كرافت للعب مع كرة الشبكة,اشترت ماين كرافت للعب على جهاز إكس بوكس الخاص بها,1
178,وضعت منزل في محفظتها.,وضعت الهاتف في حقيبتها.,1
179,أخذت دبابة قتال في السيارة.,أخذت الكمبيوتر المحمول في السيارة,1
180,وضع الحبوب في فمه.,وضع الحذاء في فمه,0
181,وضع إبريق شاي على رأسه,وضع قبعة على رأسه,1
182,حب الكلب يأكل اللحم.,لن تجد كلبًا يحب أكل اللحوم أبدًا.,0
183,الباب فُتح.,هو فتح الباب,1
184,ركب سيارته عبر الطريق السريع,ركب سيارته عبر المحيط,0
185,أضع كلبي على الأريكة,أضع صالة البولينغ على الأريكة,0
186,كان هناك ثعبان ملفوف حول شجرة.,كانت هناك نملة ملفوفة حول شجرة.,0
187,لعب البيانو بسفينة.,لعب البيانو بأصابعه.,1
188,سكين الجيب مفيد جدا.,سكين جيب عديم الفائدة.,0
189,أكل شطيرة من لحم الأسد,أكل شطيرة من لحم الخنزير,1
190,القطة لدغة سحابة.,تعض القطة كرة مطاطية.,1
191,صعد الرجل إلى السيارة وانطلق,صعدت السمكة إلى السيارة وانطلقت,0
192,أوهايو دولة في أمريكا,كليفلاند هي دولة في أمريكا,0
193,خبزت كعكة خالية من الغلوتين.,لقد قمت بشوي كعكة خالية من الغلوتين.,0
194,يلعب التنس بكرة التنس,يلعب التنس بكرة السلة,0
195,كان هناك شخص يسحب كتلة ضخمة عشرة أطنان.,كان هناك الكثير من الناس يسحبون كتلة ضخمة عشرة أطنان.,1
196,عبارة معناها أن أكل التفاح يساعد الإنسان على الصمود والحفاظ على الصحة,جهاز كمبيوتر يوميا يبعد الأطباء,0
197,وضعت الحذاء على قدمها.,وضعت قميصا على قدمها.,0
198,الحيتان تمطر من السماء.,سقط المطر من السماء,1
199,يمكن للطفل إغلاق باب.,يمكن للطفل التنفس النار.,0
200,كان هناك أسد يصطاد حمار وحشي.,كان هناك حمار وحشي يصطاد أسدا.,0
201,طارد الكلب السرير.,طارد الكلب القط.,1
202,يتم استخدام المسطرة لقياس المسافة بين الأشياء,تستخدم المقاييس لقياس المسافات بين الأشياء,0
203,لن يركل لاعب كرة قدم أبداً.,من المرجح أن يركل لاعب كرة قدم.,1
204,ذهب في عطلة لتركيا,ذهب في عطلة إلى الدجاج,0
205,"عندما يكون الظلام في المنزل ، يمكنك تشغيل الضوء","عندما يكون الظلام في المنزل ، يمكنك تشغيل السخانات",0
206,إن طهي وجبات الطعام هو الطريقة الأولى لارتكاب الأخطاء مثل حرائق المطبخ.,تعد الوصفة طريقة رائعة لطهي وجبة الذواقة وتجنب الأخطاء الطفيفة في المطبخ.,1
207,يشرب البيرة في كوب,يشرب البيرة في كلب,0
208,عادت العائلة من السينما,عادت العائلة من القمر,0
209,السكر ضار للبشر,السكر حلو للبشر,1
210,كثيرا ما تمطر في الصحراء,كثيرا ما تمطر في لندن,1
211,تناول الرجل بيتزا على العشاء,تناول الرجل سيارة على العشاء,0
212,غسلت شعرها بالحليب,غسلت شعرها بالشامبو,1
213,يمكن أن يكون أخذ مكب نفايات في الحديقة مفيدًا لصحتك,يمكن أن يكون المشي في الحديقة مفيدًا لصحتك,1
214,شيء تجده في دورة المياه هو ديناصور حي,شيء تجده في دورة المياه هو زملاء العمل,1
215,قفزت في ماء كوب.,قفزت في مياه البركة.,1
216,تعيش في كرة ثلجية.,تعيش في منزل.,1
217,جون يعزف الحليب.,جون يعزف على البيانو.,1
218,الناس يشربون الماء لترطيب أنفسهم.,لا يمكنك ترطيب نفسك بشرب الماء.,0
219,دوائي يأخذني,أتناول دوائي,1
220,سحب مروحة من الزجاجة.,سحب الماء من الزجاجة.,1
221,غدا زجاجة ماء.,غداً هو يوم الجمعه,1
222,طهي الحليب في المقلاة.,طهي سرير في المقلاة.,0
223,يمكن تنظيف الأطباق المتسخة في غسالة الصحون.,لا يمكن تنظيف الأطباق المتسخة في غسالة الصحون.,0
224,وضع سمكة قرش في مجلس الوزراء.,وضع قطة في مجلس الوزراء.,1
225,الفتاة تحب أكل البلاستيك.,الفتاة تحب أكل الحلويات.,1
226,نبح الكلب على ساعي البريد.,نباح القطة على عامل البريد.,0
227,"إذا كنت قبل أن تذهب إلى الحانة وتشرب الكثير ، ثم بعد ذلك تكون في حالة سكر",إذا كنت تشرب الكثير في الحانة سوف تصبح ثملا,1
228,لعبت المرأة كرة القدم,لعبت المرأة التلفزيون,0
229,طار النسر عاليا في السماء,يطير النسر عميقًا في المحيط,0
230,ذهبت إلى القمر يوم الأحد,ذهبت إلى الحديقة يوم الأحد,1
231,100 مائة,200 مائة,0
232,ركضت في الخزانة.,ركضت في المضمار.,1
233,كان يشرب الورق,شرب عصير التفاح,1
234,كانت الفتاة نائمة على ملعقة,كانت الفتاة نائمة على الأريكة,1
235,كتبت شيء على لوحة المفاتيح,كتبت شيء على الأرض,0
236,سبحت الطائرة تركيا,طارت الطائرة إلى تركيا,1
237,زار ميكانيكيًا لفحص من آلام أسنانه,زار طبيب أسنان لفحص ألم أسنانه,1
238,الكلب يمشي ثلاث مرات في اليوم.,يطير الكلب ثلاث مرات في اليوم.,0
239,تحتاج إلى جواز سفرك لدخول السينما,تحتاج إلى شراء تذكرة لدخول السينما,1
240,لم يكن يريد المغادرة من داخل منزله.,لم يكن يريد المغادرة من داخل صندوق البريد الخاص به.,0
241,فتح الباب بمفتاح.,فتح الباب بحذاء.,0
242,أخذ كلبه إلى الطبيب البيطري لإجراء فحص طبي.,اصطحب كلبه إلى مصفف الشعر لإجراء فحص طبي.,0
243,أحد الأشياء التي تفعلها عندما تستيقظ هي أن تقول ليلة سعيدة,من الأشياء التي تفعلها عند الاستيقاظ هو تنظيف أسنانك,1
244,كان الأطفال سعداء برؤية الوحش,كان الأطفال سعداء برؤية المهرج,1
245,نحت لحم الخنزير بملعقة.,نحت لحم الخنزير بسكين.,1
246,أخذ كلبه إلى صالة الألعاب الرياضية لأخذ لقاحاته,أخذ كلبه إلى الطبيب البيطري لأخذ لقاحاته,1
247,"في الصباح عندما أستيقظ ، أتناول العشاء.","في الصباح عندما أستيقظ ، أتناول الإفطار.",1
248,البطاطا هي جمع البطاطا,البطاطس هي جمع البطاطا,0
249,لقد وجدت صابونًا على طاولة.,لقد وجدت مفكرة على طاولة.,1
250,شيء قد تفعله أثناء قيادة سيارتك هو التحليق بالطائرة,شيء قد تفعله أثناء قيادة سيارتك يتم دفعه على الفرامل,1
251,ذهب الناس إلى الكنيسة للصلاة,ذهب الناس إلى المطعم للصلاة,0
252,ودعا المصرفي للشكوى من السرقة,اتصل بالشرطة للشكوى من السارق,1
253,ستائر تمنع الضوء من دخول الغرفة.,ستائر تسمح بدخول مزيد من الضوء إلى الغرفة.,0
254,أرسل رسالة نصية من خلال الهاتف المحمول,أرسل رسالة نصية في صندوق الغداء,0
255,الموقد حيث يجلس الناس والاسترخاء,الكرسي بذراعين هو المكان الذي يجلس فيه الناس ويستريحون,1
256,حكم المتهم على هيئة المحلفين بالإعدام.,حُكم عليه بالإعدام في محاكمة.,1
257,يشرب الشاي كل صباح,يشرب البنزين كل صباح,0
258,قرأ جيمس الصفحة الأخيرة من الكتاب وشرع في تناوله.,قرأ جيمس الصفحة الأخيرة من الكتاب وأعادها إلى رف الكتب.,1
259,دفعت عربتها حول السوبر ماركت لجمع الأغراض من البقالة,قادت سيارتها حول السوبر ماركت لجمع الأغراض البقالة,0
260,يمكنك شراء صور في متحف,يمكنك مشاهدة الصور في المتحف,1
261,حزم ملابسه في حقيبة,حزم ملابسه بقلم,0
262,وضعت قميصها على قدميها,وضعت حذائها على قدميها,1
263,اشترى الدجاج لطهي الطعام,اشترى طبق لطهي الطعام,0
264,أريد أن ألعب كرة القدم على جهاز إكس بوكس,أريد أن ألعب كرة القدم على غيتاري,0
265,طالب الطالب مذكرات أساتذته.,قام الطالب بنسخ ملاحظات أساتذته.,1
266,الهواتف المحمولة سهلة الحمل,تستخدم الهواتف المحمولة في التنظيف,0
267,يتم استخدام السرير لمشاهدة التلفزيون,يتم استخدام السرير للنوم,1
268,شرب صديقي الرمال في كوب.,شرب صديقي العصير في كأس.,1
269,وضعت فطيرة في حوض الاستحمام.,لقد وضعت فطيرة في الفرن.,1
270,كانت تأكل الشوكلاتة,كانت تأكل الحذاء,0
271,نمت في الفراش للنوم.,دخلت إلى حوض الاستحمام للنوم.,0
272,لقد وضعت غوريلا في الفرن.,وضعت بيتزا في الفرن.,1
273,يستخدم واقي الشمس خلال يوم ممطر.,يتم استخدام المظلة خلال يوم ممطر.,1
274,يمكننا الاستحمام في المطبخ,يمكننا طهي الطعام في المطبخ,1
275,الأطعمة المبردة لفترة أطول من الموصى بها يمكن أن تحترق,الطعام المخبوز لفترة أطول من الموصى به يمكن أن يحرق,1
276,قاد المركز التجاري إلى جيم,قاد جيم إلى المركز التجاري,1
277,قامت بتسخين الماء لصنع الآيس كريم.,قامت بتسخين الماء لصنع الشاي.,1
278,دمية هو سلاح,السيف هو سلاح,1
279,كوكب له شكل كروي,الكوكب له شكل مربع,0
280,وضع قطة في الفريزر.,وضع الديك الرومي المجمد في الفريزر.,1
281,العشب برتقالي,العشب أخضر,1
282,يمكن أن يكون للنبات جاموس لتناول العشاء.,معظم النباتات لها أوراق خضراء.,1
283,أعطى الطبيب اللقاح من خلال سماعة الطبيب,أعطى الطبيب اللقاح عن طريق الحقن,1
284,بيتي هو الأبيض.,بيتي مثلي الجنس.,0
285,يمكنك شراء البيرة في زجاجات,يمكنك شراء السجائر في زجاجات,0
286,تناول الكثير من الطعام يجعلك طويل القامة,تناول الكثير من الطعام يجعلك سمينًا,1
287,الصفات هي جزء من البيتزا,الصفات هي جزء من الكلام,1
288,تمطر في بعض الأحيان وهو أمر جيد للأشجار والعشب.,تمطر في بعض الأحيان وهو أمر مروع للأشجار والعشب.,0
289,إذا ماتت فلن تشتري أي شيء بعد الآن.,إذا ماتت ستشتري منزلا جديدا.,0
290,قفز السجل فوق كلب.,قفز الكلب فوق السجل.,1
291,حللت الإجابة على الآلة الحاسبة,عملت على السؤال على الآلة الحاسبة,0
292,علقت إطار صورة على الحائط.,قامت بتعليق مصعد على الحائط.,0
293,10٪ من الأشخاص المضطربين قلقون من أي شيء طوال الوقت.,تؤثر اضطرابات القلق على حوالي 10 ٪ من الناس في وقت واحد.,1
294,القوارب تبحر على الرمال.,القوارب تبحر على الماء.,1
295,الأطباء هم أهل الخير,اللصوص هم أهل الخير,0
296,ارتديت ربطة قوس قزح في الجنازة,ارتديت ربطة عنق سوداء للجنازة,1
297,وبخ المعلم الطلاب,وبخ الطلاب المعلم,0
298,قاموا بتشغيل التلفزيون لمشاهدة برنامجهم المفضل,قاموا بتشغيل الموقد لمشاهدة برنامجهم المفضل,0
299,احتفظ بالآيس كريم في المجمد,أبقى الآيس كريم في الفرن,0
300,كانت تقلى المكسرات في المجمد,كانت تحمر المكسرات في مقلاة ساخنة,1
301,تعلم كيفية ركوب الدراجات سهل,تعلم لغة أمر سهل,0
302,وضعت ميشيل أريكة في مؤخرة سيارتها,وضعت ميشيل جهاز تلفزيون في الجزء الخلفي من سيارتها.,1
303,ستجد سمكة قرش في جبل,ستجد صخرة في الجبل,1
304,عبرت السيارة عبر عبارة النهر.,عبرت عبارة النهر على السيارة.,0
305,جعلت الشمس قميصي مبللا.,لقد جعل المطر قميصي مبللاً.,1
306,كانت تسبح في الماء الساخن.,كانت تسبح بزيت ساخن.,0
307,تحب بيلا الرقص في قاعة رقص بفستانها الوردي,تحب بيلا الرقص في قاعة رقص في سيارتها الوردية.,0
308,يستخدم البيض عادة لتناول الطعام,عادة ما يستخدم البيض ككرة كريكيت,0
309,شيء واحد ستراه في متجر تغيير الإطارات هو صانع العصير,شيء واحد ستراه في متجر تغيير الإطارات هو الضاغط,1
310,الهواتف المحمولة هي وسيلة جيدة للاتصال,المظلات وسيلة جيدة للتواصل,0
311,المعاطف الشتوية مفيدة في الصيف.,المعاطف الشتوية مفيدة في درجات الحرارة الباردة.,1
312,هو أكل هاتف محمول,هو أكل تفاحة,1
313,أقلام الرصاص تحتوي على نواة الجرافيت,أقلام الرصاص تحتوي على قلب الشوكولاتة,0
314,قطع الجبن بالفأس,قطع الجبن بسكين,1
315,أخذ عائلته إلى مطعم لمشاهدة لفيلم,أخذ عائلته إلى المطعم لتناول العشاء,1
316,اللاعبون يلعبون كرة القدم بالأحذية الجبلية,يلعب اللاعبون كرة القدم بالأحذية الرياضية,1
317,كان انعكاسه مرئيًا في المرآة,كان انعكاسه غير مرئي في المرآة.,0
318,كان يأكل الملعقة,كان يأكل انمقانق المقلية,1
319,سوف أعزف الجيتار في الصف غدًا أمام الطلاب,سوف أعزف الطاولة في الصف غدًا أمام الطلاب,0
320,المخرطة هي فقط لصنع أرجل الطاولة.,مخرطة تستخدم لتشكيل المواد.,1
321,القهوة مشروب باللون البني,الماء هو مشروب بلون بني,0
322,يستخدم الكمبيوتر الناس لكسب المال.,يستخدم الناس الكمبيوتر لكسب المال.,1
323,شرطي يحمل بندقية.,شرطي يحمل سيفا.,0
324,يمكن للقوارب تجديف الناس.,يمكن للناس تجديف القوارب.,1
325,تم بناء الجسور لعبور الأنهار,تم بناء الجسور لجذب السياح,0
